grouping,method,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,tokens_mean,pair_class,phase,archetype,family
method+pair_class,naive_mixed_avg,2,17.75,4.6023499999999995,0.0648,22.41715,0.0,0.5,0.4,2.5,0.5,3.0,1.0,40840.0,agent_fast__task_deep,,,
method+pair_class,random_path,62,11.943548387096774,5.1912029838709675,0.07212903225806452,17.206880403225806,0.16129032258064516,0.27419354838709675,0.8290322580645161,0.5645161290322581,0.2903225806451613,1.2741935483870968,1.0,53833.645161290326,agent_deep__task_deep,,,
method+pair_class,random_path,19,1.3421052631578947,5.290806578947368,0.0713578947368421,6.704269736842105,0.42105263157894735,0.8947368421052632,0.2526315789473685,0.0,3.736842105263158,1.263157894736842,5.0,44248.36842105263,agent_deep__task_fast,,,
method+pair_class,random_path,13,10.384615384615385,5.577805,0.06441538461538462,16.026835769230768,0.0,0.07692307692307693,0.4,2.6923076923076925,0.3076923076923077,3.3846153846153846,1.0,47941.846153846156,agent_fast__task_deep,,,
method+pair_class,random_path,6,1.75,3.4436774999999997,0.06355000000000001,5.2572275,0.3333333333333333,0.8333333333333334,0.7000000000000001,0.0,1.5,3.5,5.0,32442.0,agent_fast__task_fast,,,
method+pair_class,risky_ps,64,11.03125,5.27050625,0.0714796875,16.3732359375,0.171875,0.328125,0.75625,0.78125,0.4375,1.34375,1.0,53773.234375,agent_deep__task_deep,,,
method+pair_class,risky_ps,22,1.2954545454545454,5.2448625,0.07232727272727274,6.612644318181818,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,43656.0,agent_deep__task_fast,,,
method+pair_class,risky_ps,11,11.363636363636363,5.297844090909091,0.06287272727272727,16.72435318181818,0.09090909090909091,0.18181818181818182,0.4,2.727272727272727,0.2727272727272727,3.4545454545454546,1.0,45120.72727272727,agent_fast__task_deep,,,
method+pair_class,risky_ps,3,1.8333333333333333,4.839016666666667,0.06386666666666667,6.7362166666666665,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,44674.666666666664,agent_fast__task_fast,,,
method+pair_class,risky_ps_direct_cost,62,11.516129032258064,5.256393387096774,0.07139193548387097,16.84391435483871,0.12903225806451613,0.3387096774193548,0.7645161290322581,0.7419354838709677,0.43548387096774194,1.3064516129032258,1.0,53612.6129032258,agent_deep__task_deep,,,
method+pair_class,risky_ps_direct_cost,22,1.1136363636363635,4.881214318181819,0.07232727272727274,6.067177954545454,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,40510.86363636364,agent_deep__task_fast,,,
